"","lon","lat","date","status","analysed_sst","analysis_error","mask","sea_ice_fraction"
"219",21.5032679960132,-9.39879022974699,2013-10-17,TRUE,NA,NA,2,NA
"220",46.4049290120602,-0.934899908933736,2018-06-12,TRUE,299.494,0.38,1,NA
"221",176.905347201973,-8.12936114023458,2014-10-10,TRUE,303.157,0.38,1,NA
"222",-159.397946186364,-13.2417078003777,2005-10-26,TRUE,301.687,0.37,1,NA
"223",-90.8873953577131,40.9196562949534,2011-03-09,TRUE,NA,NA,2,NA
"224",-74.5268376823515,-49.1729942054032,2009-06-25,TRUE,280.903,0.39,2,NA
"225",50.3666150104254,63.9931464684547,2012-01-08,TRUE,NA,NA,2,NA
"226",-68.8298650458455,13.2162815579349,2013-07-20,TRUE,301.314,0.38,1,NA
"227",-176.105778682977,-77.6791832219415,2018-07-10,TRUE,271.35,0.35,9,0.85
"228",13.89752805233,8.77629328607638,2015-09-17,TRUE,NA,NA,2,NA
"229",-95.2838954329491,56.4656865965803,2007-01-18,TRUE,272.949,0.38,5,NA
"230",86.604936607182,57.7857155060468,2015-01-09,TRUE,NA,NA,2,NA
"231",113.640125328675,50.0729820775401,2015-03-09,TRUE,NA,NA,2,NA
"232",16.5973688196391,-3.0237848853674,2015-05-18,TRUE,NA,NA,2,NA
"233",-158.57064136304,-38.6368244261635,2020-05-03,TRUE,291.203,0.38,1,NA
"234",173.20216328837,3.99282326473816,2020-10-20,TRUE,302.36,0.36,1,NA
"235",-154.972459143028,56.4092124872089,2004-06-28,TRUE,281.582,0.37,1,0
"236",-52.0858162734658,58.285924318422,2006-03-14,TRUE,277.006,0.37,9,0.06
"237",86.8727095797658,48.7427124394862,2014-08-12,TRUE,NA,NA,2,NA
"238",56.7627752479166,57.3244643475439,2020-07-15,TRUE,NA,NA,2,NA
"239",-6.5822231490165,-52.9465558645634,2008-08-12,TRUE,273.189,0.38,1,0
"240",-29.4847566727549,46.6983914400341,2004-05-07,TRUE,287.434,0.38,1,0
"241",-134.367724293843,78.50770358312,2005-05-15,TRUE,271.35,0.35,9,1
"242",54.3535734526813,-40.2714018797123,2018-10-19,TRUE,288.357,0.38,1,NA
"243",154.550211047754,40.5638354008885,2016-02-26,TRUE,283.445,0.39,1,0
"244",127.746315412223,-28.1169651438187,2013-04-19,TRUE,NA,NA,2,NA
"245",-165.274922540411,-41.3392369382489,2019-07-19,TRUE,285.96,0.37,1,NA
"246",92.3693382181227,-30.1056617647632,2010-09-07,TRUE,290.897,0.37,1,NA
"247",-114.080980913714,-40.1987570888778,2005-01-10,TRUE,288.279,0.37,1,NA
"248",-7.4266198463738,30.0103951925133,2020-08-20,TRUE,NA,NA,2,NA
"249",29.9999307375401,-51.4502546106597,2007-08-03,TRUE,274.658,0.38,1,0
"250",82.3124552797526,-33.6169303136518,2016-03-10,TRUE,293.377,0.4,1,NA
"251",82.2946955356747,-4.19897456634165,2007-09-01,TRUE,302.341,0.41,1,NA
"252",22.0364064071327,-26.9291888828613,2020-08-05,TRUE,NA,NA,2,NA
"253",141.343157943338,-49.1375946505717,2020-03-28,TRUE,283.141,0.37,1,NA
"254",112.608746979386,36.6891971287695,2015-08-19,TRUE,NA,NA,2,NA
"255",85.3913286421448,70.3550212012401,2011-04-27,TRUE,NA,NA,2,NA
"256",-20.1288019213825,-7.82964905345366,2019-08-10,TRUE,298.331,0.38,1,NA
"257",145.873452806845,-18.5508043938068,2015-06-14,TRUE,NA,NA,2,NA
"258",82.5556472316384,-35.0879137673201,2016-04-25,TRUE,292.357,0.4,1,NA
"259",-106.528231948614,82.8408191023991,2016-06-14,TRUE,271.35,0.35,9,1
"260",66.7147477716208,48.5947166858216,2015-04-08,TRUE,NA,NA,2,NA
"261",69.8982310574502,-6.79764095509561,2015-12-05,TRUE,302.366,0.39,1,NA
"262",-39.2716802190989,-62.3979187625051,2009-01-03,TRUE,272.941,0.37,1,0
"263",-43.3369884174317,26.8912161193612,2004-08-02,TRUE,300.28,0.37,1,NA
"264",-60.5186120141298,-7.18003084523332,2020-01-09,TRUE,NA,NA,2,NA
"265",115.745571060106,-40.3147019046018,2018-01-09,TRUE,286.768,0.39,1,NA
"266",97.7442013565451,-14.4619294230552,2007-06-27,TRUE,300.233,0.37,1,NA
"267",96.6829210706055,74.634753298465,2011-02-12,TRUE,NA,NA,2,NA
"268",-21.2268077675253,36.0379468521488,2016-12-03,TRUE,291.969,0.39,1,NA
"269",20.4008396063,57.1144136306391,2011-04-11,TRUE,274.436,0.37,1,0
"270",-17.8361224103719,-1.56246412619772,2009-06-06,TRUE,299.381,0.37,1,NA
"271",87.7149266470224,67.4474178052262,2017-02-07,TRUE,NA,NA,2,NA
"272",-3.72290569357574,30.7348548471514,2015-09-17,TRUE,NA,NA,2,NA
"273",30.5850314162672,50.2006410607183,2005-06-20,TRUE,NA,NA,2,NA
"274",76.1677154246718,-35.4570118108379,2003-06-09,TRUE,288.256,0.37,1,NA
"275",-179.678262490779,-55.465359091639,2008-12-11,TRUE,280.407,0.37,1,0
"276",-159.755546255037,-12.8664877270575,2020-03-15,TRUE,302.618,0.38,1,NA
"277",77.244825437665,11.2907970985025,2003-01-18,TRUE,NA,NA,2,NA
"278",-52.6218485366553,34.5819477143734,2006-09-27,TRUE,297.488,0.37,1,NA
"279",138.166665583849,-15.516346993202,2019-02-08,TRUE,304.031,0.37,1,NA
"280",-116.401620358229,10.8706381392213,2005-12-14,TRUE,299.865,0.38,1,NA
